8051,0.7030088496,-235.6,a
8051,0.7030088496,94.5,b
8176,0.7472566372,-251.7,a
8176,0.7472566372,98.8,b
8284,0.7854867257,-260.6,a
8284,0.7854867257,99.8,b
6065,0,97,a
6065,0,-111.7,b
6176,0.0392920354,129,a
6176,0.0392920354,-122.8,b
6297,0.08212389381,166.3,a
6297,0.08212389381,-135.3,b
6406,0.1207079646,187.2,a
6406,0.1207079646,-149.4,b
6532,0.1653097345,200.7,a
6532,0.1653097345,-160.5,b
6638,0.2028318584,202.8,a
6638,0.2028318584,-157,b
6759,0.2456637168,194.8,a
6759,0.2456637168,-148.1,b
6866,0.283539823,179.1,a
6866,0.283539823,-147,b
7003,0.3320353982,146.5,a
7003,0.3320353982,-127.4,b
6651,0.2074336283,206.5,a
6651,0.2074336283,-152,b
6758,0.2453097345,190.1,a
6758,0.2453097345,-152.7,b
6884,0.2899115044,167,a
6884,0.2899115044,-136.1,b
6995,0.3292035398,140.2,a
6995,0.3292035398,-122,b
7120,0.3734513274,103.3,a
7120,0.3734513274,-110.2,b
7740,0.592920354,-180.6,a
7740,0.592920354,69.6,b
7867,0.6378761062,-217.7,a
7867,0.6378761062,80.7,b
7977,0.6768141593,-240.2,a
7977,0.6768141593,87.9,b
8101,0.7207079646,-251.9,a
8101,0.7207079646,102.5,b
8209,0.7589380531,-258,a
8209,0.7589380531,98.4,b
8334,0.8031858407,-249.8,a
8334,0.8031858407,79.8,b
8444,0.8421238938,-239,a
8444,0.8421238938,87,b
8064,0.7076106195,-253.8,a
8064,0.7076106195,96.3,b
8170,0.7451327434,-258.4,a
8170,0.7451327434,94,b
8289,0.7872566372,-254.5,a
8289,0.7872566372,91.6,b
8397,0.8254867257,-231.9,a
8397,0.8254867257,91.8,b
8521,0.869380531,-204.2,a
8521,0.869380531,73.9,b
8633,0.9090265487,-172.6,a
8633,0.9090265487,63.6,b
8755,0.9522123894,-134.4,a
8755,0.9522123894,55.5,b
8101,0.7207079646,-144.8,a
8101,0.7207079646,68,b
8663,0.9196460177,94.8,a
8663,0.9196460177,-106.8,b
8782,0.9617699115,136.5,a
8782,0.9617699115,-118.3,b
8890,1,160.7,a
8890,1,-133.6,b